GSM1358650	GSM1358651	GSM1358652	GSM1358653	GSM1358654	GSM1358655	GSM1358656	GSM1358657	GSM1358658	GSM1358659	GSM1358660	GSM1358661	GSM1358662	GSM1358663	GSM1358664
AB003177	1608.399895	1603.050954	254.4132389	2967.610458	1243.848785	257.4743192	1977.109402	1747.191595	1748.754173	584.9856565	542.8024986	1354.756394	581.2970404	1497.093289	1003.489596
AB003333	2812.149123	850.0254245	139.1324821	1040.044386	1578.9898	3955.465062	3549.345961	2655.802384	4326.854893	259.7886687	1812.246562	1095.309648	1308.333506	1322.111202	2508.78667
AB006589	316.5553576	22.06449298	203.6491257	373.7180708	41.6276806	83.99448479	97.66201894	74.53649727	191.0996458	148.8757833	518.1816991	678.1366656	124.7476055	16.15467851	665.9407901
AB006590	1362.912126	77.29670874	122.9805855	261.5658966	305.5403388	58.03596418	190.658019	71.50451952	443.0045959	107.3888862	232.7870626	137.3358334	29.34156446	21.06848991	743.0923935
AB006621	250.9842559	182.012895	928.9342025	94.86496675	231.5956107	196.4830965	672.5872167	24.57816925	377.3037631	1246.337975	1069.553262	942.0738296	4023.073264	1662.339899	129.3900482
AB006625	15.60076692	13.25259018	241.7483533	102.5997409	25.54248341	40.37381684	213.4403518	32.51984829	211.7923263	485.9051795	129.2150822	946.9975163	1672.50523	558.5652045	60.88636801
AB007457	3889.832534	3912.754613	1972.879207	2979.81939	1180.123185	886.7398794	2376.606593	1963.892123	1533.775538	1531.260417	1037.47251	991.7908112	2231.737859	1437.705812	1736.586844
AB007870	226.214877	56.60037744	51.81606373	77.40029459	39.51202161	155.8485532	201.5142855	247.4786776	87.0216831	76.13282209	78.02974416	285.5348248	262.1650145	99.28298907	54.64687291
AB007877	43.86931386	224.5699119	473.3088115	68.93593504	623.8058258	1027.596469	150.7725199	214.8573391	225.9126604	103.3013443	47.55815215	242.0289239	125.9969801	148.5254289	417.427313
AB007878	170.9298613	36.61021494	11.60407092	24.94617564	32.24500487	22.52147678	482.4838763	514.2878441	192.3160311	24.04708344	42.51348346	70.20829252	13.92827824	11.86498894	594.480975
AB007895	239.8379584	307.9145539	188.8779404	113.0116835	234.1486181	157.3926135	154.845781	165.5286604	137.0172174	112.8428424	247.8763961	191.9842037	129.510421	656.1493659	1975.967586
AB007921	337.9295893	169.1860728	1622.587597	671.6733917	257.2738074	206.0727693	388.9520757	183.4966381	683.2274375	1586.691814	1782.329245	130.8389838	535.9072504	1322.111202	144.1426009
